all,所有,all,所有,99,UNKNOWN,7.未知类目,所有
root,所有类目,root,所有类目,99,UNKNOWN,7.未知类目,所有类目
cheliang,车辆,cheliang,车辆,100,big_cheliang,2.车辆买卖,车辆
chongwuleimu,宠物,chongwuleimu,宠物,100,big_ershou,1.物品交易,创新
ershou,二手,ershou,二手,100,big_ershou,1.物品交易,二手
fang,房屋,fang,房屋,100,big_fang,3.房屋租售,房屋
fuwu,服务,fuwu,服务,100,big_life,5.生活服务,服务
gongzuo,招聘,gongzuo,招聘,100,big_gongzuo,4.工作大类,招聘
huodong,交友寻人,huodong,交友寻人,100,big_other,6.交友活动,交友寻人
jianzhi,兼职,jianzhi,兼职,100,big_gongzuo,4.工作大类,招聘
jiaoyupeixun,培训,jiaoyupeixun,培训,100,big_life,5.生活服务,服务
cheliangqiugou,高价收车,cheliang,车辆,101,big_cheliang,2.车辆买卖,车辆
cheyongpeijian,汽车配件,cheliang,车辆,101,big_cheliang,2.车辆买卖,车辆
daikuangouche,贷款购车,cheliang,车辆,101,big_cheliang,2.车辆买卖,车辆
ershoudiandongche,二手电动车,cheliang,车辆,101,big_cheliang,2.车辆买卖,车辆
ershougongchengche,二手货车,cheliang,车辆,101,big_cheliang,2.车辆买卖,创新
ershoukache,面包车/客车,cheliang,车辆,101,big_cheliang,2.车辆买卖,车辆
ershoumotuoche,二手摩托车,cheliang,车辆,101,big_cheliang,2.车辆买卖,车辆
ershouqiche,二手车轿车,cheliang,车辆,101,big_cheliang,2.车辆买卖,车辆
ershouzixingche,二手自行车,cheliang,车辆,101,big_cheliang,2.车辆买卖,车辆
gongchengche,工程车,cheliang,车辆,101,big_cheliang,2.车辆买卖,创新
pinchesfc,拼车/顺风车,cheliang,车辆,101,big_cheliang,2.车辆买卖,车辆
qichebaoyang,维修保养,cheliang,车辆,101,big_cheliang,2.车辆买卖,车辆
qicheyongpin,汽车用品,cheliang,车辆,101,big_cheliang,2.车辆买卖,车辆
shangpaiyanche,过户/验车,cheliang,车辆,101,big_cheliang,2.车辆买卖,车辆
shiguchejiqita,抵押车/不过户车辆,cheliang,车辆,101,big_cheliang,2.车辆买卖,车辆
tuolaji,拖拉机/收割机,cheliang,车辆,101,big_cheliang,2.车辆买卖,创新
xiaxianche,本地下线车,cheliang,车辆,101,big_cheliang,2.车辆买卖,车辆
xincheyouhui,新车优惠,cheliang,车辆,101,big_cheliang,2.车辆买卖,车辆
chongwujiaoyi,狗狗,chongwuleimu,宠物,101,big_ershou,1.物品交易,创新
chongwulingyang,宠物免费赠送,chongwuleimu,宠物,101,big_ershou,1.物品交易,创新
chongwumao,猫猫,chongwuleimu,宠物,101,big_ershou,1.物品交易,创新
chongwupeizhong,宠物服务/配种,chongwuleimu,宠物,101,big_ershou,1.物品交易,创新
chongwuyongpin,宠物用品/食品,chongwuleimu,宠物,101,big_ershou,1.物品交易,创新
qitachongwu,其他宠物,chongwuleimu,宠物,101,big_ershou,1.物品交易,创新
zhaochongwu,寻宠启事,chongwuleimu,宠物,101,big_ershou,1.物品交易,创新
bangongjiaju,办公家具,ershou,二手,101,big_ershou,1.物品交易,二手
bangongyongpin,办公用品,ershou,二手,101,big_ershou,1.物品交易,二手
bijiben,笔记本,ershou,二手,101,big_ershou,1.物品交易,二手
diannao,台式电脑,ershou,二手,101,big_ershou,1.物品交易,二手
dianqi,家用电器,ershou,二手,101,big_ershou,1.物品交易,二手
fushi,服饰箱包,ershou,二手,101,big_ershou,1.物品交易,二手
jiaju,二手家具,ershou,二手,101,big_ershou,1.物品交易,二手
menpiao,门票卡券,ershou,二手,101,big_ershou,1.物品交易,二手
nongchanpin,食品农产,ershou,二手,101,big_ershou,1.物品交易,二手
pingbandiannao,平板电脑,ershou,二手,101,big_ershou,1.物品交易,二手
qishipenjing,奇石盆景,ershou,二手,101,big_ershou,1.物品交易,二手
qitazhuanrang,其他物品,ershou,二手,101,big_ershou,1.物品交易,二手
riyongpin,家居日用,ershou,二手,101,big_ershou,1.物品交易,二手
shoucang,工艺收藏,ershou,二手,101,big_ershou,1.物品交易,二手
shouji,二手手机,ershou,二手,101,big_ershou,1.物品交易,二手
shoujipeijian,手机配件,ershou,二手,101,big_ershou,1.物品交易,二手
shumachanpin,数码产品,ershou,二手,101,big_ershou,1.物品交易,二手
xuniwupin,网游/虚拟物品,ershou,二手,101,big_ershou,1.物品交易,二手
yinger,母婴用品,ershou,二手,101,big_ershou,1.物品交易,二手
yueqi,图书音像,ershou,二手,101,big_ershou,1.物品交易,二手
yundongqicai,乐器/运动,ershou,二手,101,big_ershou,1.物品交易,二手
zengsong,闲置真心送,ershou,二手,101,big_ershou,1.物品交易,二手
zhaoxiangji,照相机,ershou,二手,101,big_ershou,1.物品交易,二手
changfang,厂房/仓库/土地,fang,房屋,101,big_fang,3.房屋租售,房屋
duanzu,日租/短租,fang,房屋,101,big_fang,3.房屋租售,房屋
ershoufang,二手房出售,fang,房屋,101,big_fang,3.房屋租售,房屋
jingyingzhuanrang,商铺出租,fang,房屋,101,big_fang,3.房屋租售,房屋
qiufang,求租/求购,fang,房屋,101,big_fang,3.房屋租售,房屋
shangpu,写字楼出租,fang,房屋,101,big_fang,3.房屋租售,房屋
shangpuchushou,商铺出售,fang,房屋,101,big_fang,3.房屋租售,房屋
shangpuzhuanrang,商铺转让,fang,房屋,101,big_fang,3.房屋租售,房屋
shoufang,写字楼出售,fang,房屋,101,big_fang,3.房屋租售,房屋
xinfangchushou,新房出售,fang,房屋,101,big_fang,3.房屋租售,房屋
zhaoshiyou,找室友,fang,房屋,101,big_fang,3.房屋租售,房屋
zhengzu,租房/出租,fang,房屋,101,big_fang,3.房屋租售,房屋
bangongweixiu,设备维修,fuwu,服务,101,big_life,5.生活服务,服务
banjia,搬家服务,fuwu,服务,101,big_life,5.生活服务,服务
baojieqingxi,保洁清洗,fuwu,服务,101,big_life,5.生活服务,服务
baomu,保姆/月嫂,fuwu,服务,101,big_life,5.生活服务,服务
baoxianfuwu,保险服务,fuwu,服务,101,big_life,5.生活服务,服务
bendimingzhan,本地名站,fuwu,服务,101,big_life,5.生活服务,服务
binzang,白事服务,fuwu,服务,101,big_life,5.生活服务,服务
canyin,生活配送,fuwu,服务,101,big_life,5.生活服务,服务
canyinmeishi,餐饮美食,fuwu,服务,101,big_life,5.生活服务,服务
chaijiu,拆旧服务,fuwu,服务,101,big_life,5.生活服务,服务
daibanzhuce,公司注册,fuwu,服务,101,big_life,5.生活服务,服务
daiyunyingtg,代运营/托管,fuwu,服务,101,big_life,5.生活服务,服务
diannaoweixiu,电脑维修,fuwu,服务,101,big_life,5.生活服务,服务
fangwuweixiu,房屋维修,fuwu,服务,101,big_life,5.生活服务,服务
